Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['2', '16', '25', '31', '32', '3'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 1
Guess time: 226, Issue： 2021022 baseM: 130, result: 15, red_balls: ['4', '14', '23', '30', '33', '21'], blue_ball: 6, act_red_balls: ['10', '15', '17', '25', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 237, Issue： 2021033 baseM: 45, result: 15, red_balls: ['7', '14', '17', '18', '19', '13'], blue_ball: 6, act_red_balls: ['2', '12', '13', '14', '31', '33'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 242, Issue： 2021038 baseM: 20, result: 15, red_balls: ['8', '24', '26', '28', '32', '5'], blue_ball: 6, act_red_balls: ['5', '7', '9', '16', '18', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
base_money is negative, stop, totally round: 244
Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['1', '6', '11', '24', '25', '19'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 1
Guess time: 25, Issue： 2019106 baseM: 1790, result: 15, red_balls: ['3', '4', '7', '8', '9', '14'], blue_ball: 14, act_red_balls: ['2', '14', '22', '27', '30', '33'], act_blue_ball: 14, ret: 15, red_correct: 1
Guess time: 32, Issue： 2019113 baseM: 1745, result: 15, red_balls: ['4', '9', '17', '26', '31', '8'], blue_ball: 15, act_red_balls: ['1', '5', '19', '21', '25', '33'], act_blue_ball: 15, ret: 15, red_correct: 0
Guess time: 45, Issue： 2019126 baseM: 1640, result: 15, red_balls: ['8', '13', '22', '25', '32', '12'], blue_ball: 16, act_red_balls: ['2', '14', '17', '29', '32', '33'], act_blue_ball: 16, ret: 15, red_correct: 1
Guess time: 56, Issue： 2019137 baseM: 1555, result: 15, red_balls: ['1', '7', '11', '19', '28', '21'], blue_ball: 6, act_red_balls: ['7', '10', '13', '19', '23', '31'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 96, Issue： 2020026 baseM: 1205, result: 40, red_balls: ['4', '6', '18', '25', '32', '9'], blue_ball: 6, act_red_balls: ['1', '4', '9', '18', '19', '31'], act_blue_ball: 6, ret: 40, red_correct: 3
Guess time: 97, Issue： 2020027 baseM: 1220, result: 15, red_balls: ['8', '14', '21', '23', '25', '26'], blue_ball: 6, act_red_balls: ['12', '13', '14', '24', '25', '28'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 106, Issue： 2020036 baseM: 1155, result: 15, red_balls: ['3', '15', '17', '21', '22', '29'], blue_ball: 6, act_red_balls: ['7', '9', '16', '22', '24', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 146, Issue： 2020076 baseM: 805, result: 40, red_balls: ['8', '11', '18', '27', '32', '10'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 40, red_correct: 3
Guess time: 156, Issue： 2020086 baseM: 730, result: 15, red_balls: ['2', '3', '12', '30', '33', '23'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 160, Issue： 2020090 baseM: 715, result: 15, red_balls: ['1', '5', '12', '23', '30', '22'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 217, Issue： 2021013 baseM: 170, result: 15, red_balls: ['9', '10', '16', '22', '26', '13'], blue_ball: 6, act_red_balls: ['6', '9', '12', '16', '27', '31'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 218, Issue： 2021014 baseM: 185, result: 15, red_balls: ['8', '16', '17', '25', '30', '9'], blue_ball: 6, act_red_balls: ['4', '15', '21', '25', '29', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 222, Issue： 2021018 baseM: 170, result: 15, red_balls: ['3', '11', '21', '28', '33', '13'], blue_ball: 6, act_red_balls: ['2', '8', '14', '23', '25', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 226, Issue： 2021022 baseM: 155, result: 15, red_balls: ['9', '10', '16', '21', '29', '33'], blue_ball: 6, act_red_balls: ['10', '15', '17', '25', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 237, Issue： 2021033 baseM: 70, result: 15, red_balls: ['19', '23', '25', '28', '32', '4'], blue_ball: 6, act_red_balls: ['2', '12', '13', '14', '31', '33'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 242, Issue： 2021038 baseM: 45, result: 15, red_balls: ['15', '18', '21', '23', '27', '28'], blue_ball: 6, act_red_balls: ['5', '7', '9', '16', '18', '27'], act_blue_ball: 6, ret: 15, red_correct: 2
base_money is negative, stop, totally round: 247
Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['3', '7', '9', '12', '14', '29'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 1
Guess time: 25, Issue： 2019106 baseM: 1790, result: 15, red_balls: ['6', '10', '11', '19', '31', '2'], blue_ball: 14, act_red_balls: ['2', '14', '22', '27', '30', '33'], act_blue_ball: 14, ret: 15, red_correct: 1
Guess time: 31, Issue： 2019112 baseM: 1780, result: 40, red_balls: ['2', '3', '17', '27', '30', '12'], blue_ball: 15, act_red_balls: ['3', '12', '14', '17', '23', '27'], act_blue_ball: 1, ret: 40, red_correct: 4
Guess time: 32, Issue： 2019113 baseM: 1795, result: 15, red_balls: ['1', '13', '18', '26', '33', '16'], blue_ball: 15, act_red_balls: ['1', '5', '19', '21', '25', '33'], act_blue_ball: 15, ret: 15, red_correct: 2
Guess time: 45, Issue： 2019126 baseM: 1690, result: 15, red_balls: ['3', '11', '13', '14', '24', '31'], blue_ball: 16, act_red_balls: ['2', '14', '17', '29', '32', '33'], act_blue_ball: 16, ret: 15, red_correct: 1
Guess time: 56, Issue： 2019137 baseM: 1605, result: 15, red_balls: ['14', '19', '27', '28', '33', '3'], blue_ball: 6, act_red_balls: ['7', '10', '13', '19', '23', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 96, Issue： 2020026 baseM: 1230, result: 15, red_balls: ['1', '11', '17', '20', '30', '23'], blue_ball: 6, act_red_balls: ['1', '4', '9', '18', '19', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 97, Issue： 2020027 baseM: 1245, result: 15, red_balls: ['13', '19', '20', '27', '29', '1'], blue_ball: 6, act_red_balls: ['12', '13', '14', '24', '25', '28'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 106, Issue： 2020036 baseM: 1180, result: 15, red_balls: ['4', '13', '14', '22', '30', '29'], blue_ball: 6, act_red_balls: ['7', '9', '16', '22', '24', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 146, Issue： 2020076 baseM: 805, result: 15, red_balls: ['1', '14', '16', '24', '29', '10'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 156, Issue： 2020086 baseM: 730, result: 15, red_balls: ['5', '10', '12', '28', '32', '2'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 160, Issue： 2020090 baseM: 715, result: 15, red_balls: ['5', '6', '20', '22', '24', '18'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 217, Issue： 2021013 baseM: 170, result: 15, red_balls: ['10', '11', '19', '23', '25', '27'], blue_ball: 6, act_red_balls: ['6', '9', '12', '16', '27', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 218, Issue： 2021014 baseM: 185, result: 15, red_balls: ['14', '17', '27', '29', '32', '31'], blue_ball: 6, act_red_balls: ['4', '15', '21', '25', '29', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 222, Issue： 2021018 baseM: 170, result: 15, red_balls: ['3', '12', '16', '18', '23', '21'], blue_ball: 6, act_red_balls: ['2', '8', '14', '23', '25', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 226, Issue： 2021022 baseM: 155, result: 15, red_balls: ['7', '10', '15', '19', '26', '11'], blue_ball: 6, act_red_balls: ['10', '15', '17', '25', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 237, Issue： 2021033 baseM: 70, result: 15, red_balls: ['3', '7', '20', '27', '31', '6'], blue_ball: 6, act_red_balls: ['2', '12', '13', '14', '31', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 242, Issue： 2021038 baseM: 45, result: 15, red_balls: ['3', '10', '12', '20', '30', '18'], blue_ball: 6, act_red_balls: ['5', '7', '9', '16', '18', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
base_money is negative, stop, totally round: 247
Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['2', '17', '20', '22', '31', '15'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 1
Guess time: 25, Issue： 2019106 baseM: 1790, result: 15, red_balls: ['12', '18', '19', '20', '28', '10'], blue_ball: 14, act_red_balls: ['2', '14', '22', '27', '30', '33'], act_blue_ball: 14, ret: 15, red_correct: 0
Guess time: 32, Issue： 2019113 baseM: 1745, result: 15, red_balls: ['2', '6', '18', '24', '27', '8'], blue_ball: 15, act_red_balls: ['1', '5', '19', '21', '25', '33'], act_blue_ball: 15, ret: 15, red_correct: 0
Guess time: 45, Issue： 2019126 baseM: 1640, result: 15, red_balls: ['1', '6', '7', '19', '20', '32'], blue_ball: 16, act_red_balls: ['2', '14', '17', '29', '32', '33'], act_blue_ball: 16, ret: 15, red_correct: 1
Guess time: 56, Issue： 2019137 baseM: 1555, result: 15, red_balls: ['5', '12', '17', '23', '26', '32'], blue_ball: 6, act_red_balls: ['7', '10', '13', '19', '23', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 96, Issue： 2020026 baseM: 1180, result: 15, red_balls: ['2', '4', '6', '24', '27', '11'], blue_ball: 6, act_red_balls: ['1', '4', '9', '18', '19', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 97, Issue： 2020027 baseM: 1195, result: 15, red_balls: ['1', '3', '13', '23', '29', '7'], blue_ball: 6, act_red_balls: ['12', '13', '14', '24', '25', '28'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 106, Issue： 2020036 baseM: 1130, result: 15, red_balls: ['8', '11', '13', '18', '24', '30'], blue_ball: 6, act_red_balls: ['7', '9', '16', '22', '24', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 146, Issue： 2020076 baseM: 755, result: 15, red_balls: ['6', '7', '12', '24', '32', '27'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 156, Issue： 2020086 baseM: 680, result: 15, red_balls: ['5', '20', '21', '23', '25', '3'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 160, Issue： 2020090 baseM: 665, result: 15, red_balls: ['6', '10', '19', '23', '26', '4'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 189, Issue： 2020119 baseM: 425, result: 40, red_balls: ['1', '9', '18', '28', '32', '31'], blue_ball: 6, act_red_balls: ['1', '9', '22', '28', '32', '33'], act_blue_ball: 15, ret: 40, red_correct: 4
Guess time: 217, Issue： 2021013 baseM: 170, result: 15, red_balls: ['3', '6', '10', '18', '33', '23'], blue_ball: 6, act_red_balls: ['6', '9', '12', '16', '27', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 218, Issue： 2021014 baseM: 185, result: 15, red_balls: ['3', '7', '23', '24', '32', '13'], blue_ball: 6, act_red_balls: ['4', '15', '21', '25', '29', '33'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 222, Issue： 2021018 baseM: 170, result: 15, red_balls: ['17', '20', '21', '22', '25', '15'], blue_ball: 6, act_red_balls: ['2', '8', '14', '23', '25', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 226, Issue： 2021022 baseM: 155, result: 15, red_balls: ['1', '8', '9', '11', '24', '27'], blue_ball: 6, act_red_balls: ['10', '15', '17', '25', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 237, Issue： 2021033 baseM: 70, result: 15, red_balls: ['9', '19', '29', '30', '33', '11'], blue_ball: 6, act_red_balls: ['2', '12', '13', '14', '31', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 242, Issue： 2021038 baseM: 45, result: 15, red_balls: ['1', '4', '16', '17', '33', '18'], blue_ball: 6, act_red_balls: ['5', '7', '9', '16', '18', '27'], act_blue_ball: 6, ret: 15, red_correct: 2
base_money is negative, stop, totally round: 247
Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['15', '20', '21', '22', '26', '16'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 1
Guess time: 25, Issue： 2019106 baseM: 1790, result: 15, red_balls: ['9', '14', '17', '30', '31', '3'], blue_ball: 14, act_red_balls: ['2', '14', '22', '27', '30', '33'], act_blue_ball: 14, ret: 15, red_correct: 2
Guess time: 32, Issue： 2019113 baseM: 1745, result: 15, red_balls: ['2', '3', '6', '13', '20', '23'], blue_ball: 15, act_red_balls: ['1', '5', '19', '21', '25', '33'], act_blue_ball: 15, ret: 15, red_correct: 0
Guess time: 45, Issue： 2019126 baseM: 1640, result: 15, red_balls: ['8', '20', '23', '26', '33', '17'], blue_ball: 16, act_red_balls: ['2', '14', '17', '29', '32', '33'], act_blue_ball: 16, ret: 15, red_correct: 2
Guess time: 47, Issue： 2019128 baseM: 1670, result: 40, red_balls: ['5', '8', '12', '17', '28', '19'], blue_ball: 6, act_red_balls: ['3', '8', '12', '16', '17', '19'], act_blue_ball: 8, ret: 40, red_correct: 4
Guess time: 56, Issue： 2019137 baseM: 1605, result: 15, red_balls: ['18', '21', '23', '29', '31', '3'], blue_ball: 6, act_red_balls: ['7', '10', '13', '19', '23', '31'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 96, Issue： 2020026 baseM: 1230, result: 15, red_balls: ['12', '13', '15', '26', '29', '27'], blue_ball: 6, act_red_balls: ['1', '4', '9', '18', '19', '31'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 97, Issue： 2020027 baseM: 1245, result: 15, red_balls: ['9', '15', '20', '24', '31', '7'], blue_ball: 6, act_red_balls: ['12', '13', '14', '24', '25', '28'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 106, Issue： 2020036 baseM: 1180, result: 15, red_balls: ['4', '6', '27', '31', '33', '21'], blue_ball: 6, act_red_balls: ['7', '9', '16', '22', '24', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 139, Issue： 2020069 baseM: 900, result: 40, red_balls: ['2', '3', '10', '13', '15', '18'], blue_ball: 6, act_red_balls: ['3', '9', '10', '13', '18', '26'], act_blue_ball: 4, ret: 40, red_correct: 4
Guess time: 146, Issue： 2020076 baseM: 855, result: 15, red_balls: ['4', '10', '12', '24', '27', '19'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 156, Issue： 2020086 baseM: 780, result: 15, red_balls: ['1', '11', '19', '20', '25', '14'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 160, Issue： 2020090 baseM: 790, result: 40, red_balls: ['1', '5', '16', '23', '32', '21'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 40, red_correct: 3
Guess time: 217, Issue： 2021013 baseM: 245, result: 15, red_balls: ['1', '9', '22', '31', '32', '33'], blue_ball: 6, act_red_balls: ['6', '9', '12', '16', '27', '31'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 218, Issue： 2021014 baseM: 260, result: 15, red_balls: ['3', '9', '26', '29', '33', '31'], blue_ball: 6, act_red_balls: ['4', '15', '21', '25', '29', '33'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 222, Issue： 2021018 baseM: 245, result: 15, red_balls: ['4', '10', '16', '25', '27', '14'], blue_ball: 6, act_red_balls: ['2', '8', '14', '23', '25', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 226, Issue： 2021022 baseM: 230, result: 15, red_balls: ['7', '12', '15', '30', '33', '2'], blue_ball: 6, act_red_balls: ['10', '15', '17', '25', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 232, Issue： 2021028 baseM: 220, result: 40, red_balls: ['16', '23', '26', '27', '30', '6'], blue_ball: 6, act_red_balls: ['11', '16', '23', '26', '27', '33'], act_blue_ball: 5, ret: 40, red_correct: 4
Guess time: 237, Issue： 2021033 baseM: 195, result: 15, red_balls: ['7', '9', '23', '28', '33', '29'], blue_ball: 6, act_red_balls: ['2', '12', '13', '14', '31', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 242, Issue： 2021038 baseM: 170, result: 15, red_balls: ['4', '15', '16', '18', '32', '33'], blue_ball: 6, act_red_balls: ['5', '7', '9', '16', '18', '27'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 250, Issue： 2021046 baseM: 115, result: 15, red_balls: ['4', '12', '16', '29', '30', '23'], blue_ball: 6, act_red_balls: ['5', '9', '13', '21', '28', '33'], act_blue_ball: 6, ret: 15, red_correct: 0
base_money is negative, stop, totally round: 262
